Brand Name,Shirt Name,Rating,Price,URL,No. of ratings,Colour,Sleeve,Neck,Material,Fit Type,PG
Provogue,Boys Printed Pure Cotton T Shirt,4.3,259.0,https://www.flipkart.com/provogue-boys-printed-pure-cotton-t-shirt/p/itmdbbee2cf0abef?pid=KTBFZ4ANFSCDBRFC&lid=LSTKTBFZ4ANFSCDBRFCAE9XE0&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZ4ANFSCDBRFC.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,44,Red,Half Sleeve,Round Neck,Cotton,Regular,1
Luke and Lilly,Boys Printed Cotton Blend T Shirt,4.2,629.0,https://www.flipkart.com/luke-lilly-boys-printed-cotton-blend-t-shirt/p/itmfhszpetqjfjyr?pid=KTBFAYRF3GM5GEGH&lid=LSTKTBFAYRF3GM5GEGHBZFLOY&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFAYRF3GM5GEGH.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,1325,Multicolor1,Half Sleeve,Round Neck,Cotton,Regular,1
Tripr,Boys Printed Cotton Blend T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-cotton-blend-t-shirt/p/itm90a9f3428419f?pid=KTBFZM7SAXBHUFVN&lid=LSTKTBFZM7SAXBHUFVN5BMTRC&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZM7SAXBHUFVN.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,2264,Red-Black,Full Sleeve,Hooded,80% Cotton-20% Polyester,Regular,1
Tripr,Boys Printed Pure Cotton T Shirt,4.0,399.0,https://www.flipkart.com/tripr-boys-printed-pure-cotton-t-shirt/p/itm61db4bf7cceeb?pid=KTBFPP52DZC86CZX&lid=LSTKTBFPP52DZC86CZXYHD5M9&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_XTMlzSqNxAt5CtmfMz%2B7X6Oah6f3QOaTOoaw%2FHQ%2F%2BIaWwFPnY2pM%2FMNfC1EC9v5EShKHyi9FRI7zErlCMeZPxA%3D%3D&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,17,Navy Blue,Half Sleeve,Round Neck,100%Cotton,Regular,1
Provogue,Boys Printed Pure Cotton T Shirt,4.3,239.0,https://www.flipkart.com/provogue-boys-printed-pure-cotton-t-shirt/p/itm01f411f95261c?pid=KTBFZ9PRRSBGG7PG&lid=LSTKTBFZ9PRRSBGG7PGD38NXP&marketplace=FLIPKART&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZ9PRRSBGG7PG.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,34,Red,Half Sleeve,Round Neck,Cotton,Regular,1
Killer,Boys Printed Pure Cotton T Shirt,4.3,319.0,https://www.flipkart.com/killer-boys-printed-pure-cotton-t-shirt/p/itm70aa47f16d809?pid=KTBFNWN67HCRTFM6&lid=LSTKTBFNWN67HCRTFM6SPQXR2&marketplace=FLIPKART&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFNWN67HCRTFM6.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,3,Blue,Half Sleeve,Round Neck,100% Cotton,Regular,1
Kuchipoo,Boys & Girls Printed Cotton Blend T Shirt,4.2,799.0,https://www.flipkart.com/kuchipoo-boys-girls-printed-cotton-blend-t-shirt/p/itmf3w7zpgh9upsz?pid=KTBF3GTKZFBABK6A&lid=LSTKTBF3GTKZFBABK6A8C8GG8&marketplace=FLIPKART&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBF3GTKZFBABK6A.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,2218,Multicolour,Full Sleeve,Round Neck,Cotton,Regular,1
Miss & Chief,Boys Printed Pure Cotton T Shirt,3.8,289.0,https://www.flipkart.com/miss-chief-boys-printed-pure-cotton-t-shirt/p/itm6c8982d022d6b?pid=KTBFZ5EBPRYWAJZC&lid=LSTKTBFZ5EBPRYWAJZC1Y3AHR&marketplace=FLIPKART&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZ5EBPRYWAJZC.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,14,Dark Blue||Orange,Half Sleeve,Round Neck,100% Cotton,Regular,1
Killer,Boys Printed Pure Cotton T Shirt,,319.0,https://www.flipkart.com/killer-boys-printed-pure-cotton-t-shirt/p/itm9ee28493e2c3b?pid=KTBFNWN6QGPH4N87&lid=LSTKTBFNWN6QGPH4N87ZO13YR&marketplace=FLIPKART&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFNWN6QGPH4N87.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,,Black,Half Sleeve,Round Neck,100% Cotton,Regular,1
Tripr,Boys Printed Cotton Blend T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-cotton-blend-t-shirt/p/itm90a9f3428419f?pid=KTBFZM7ST8DHDHNG&lid=LSTKTBFZM7ST8DHDHNGYF4ZLG&marketplace=FLIPKART&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=en_XTMlzSqNxAt5CtmfMz%2B7X6Oah6f3QOaTOoaw%2FHQ%2F%2BIY3oM3C%2BuAma6irpe9pHk2hZfZLBAO4lk6vHky8X46KUg%3D%3D&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,2264,Red-Black,Full Sleeve,Hooded,80% Cotton-20% Polyester,Regular,1
