Brand Name,Shirt Name,Rating,Price,URL,No. of ratings,Colour,Sleeve,Neck,Material,Fit Type,PG
TARGET SUCCESS,Color Block Women Round Neck Red T-Shirt,3.9,169.0,https://www.flipkart.com/target-success-color-block-women-round-neck-red-t-shirt/p/itm0091a153f9cc0?pid=TSHFS3NUYGGHHZGR&lid=LSTTSHFS3NUYGGHHZGRGYEWMD&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFS3NUYGGHHZGR.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,2347,RED,Short Sleeve,Round Neck,Cotton Blend,SLIM FIT,1
Young Trendz,Abstract Women Round Neck Grey T-Shirt,3.9,249.0,https://www.flipkart.com/young-trendz-abstract-women-round-neck-grey-t-shirt/p/itmf3yvpehysavyb?pid=TSHEXAZGA3UVHUWX&lid=LSTTSHEXAZGA3UVHUWXUHNVEK&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_W9FIQrMconIuxj2eFNePG%2BIwlX5c6dGZhkloD5q5owOLb0iLmArXKISw1mjnMkYt5luswcLzbWBzOIXV%2Fe8SXw%3D%3D&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,609,Grey Melange,Full Sleeve,Round Neck,Cotton Blend,Smart Fit,1
Rebound,Color Block Women Round Neck Multicolor T-Shirt,3.8,169.0,https://www.flipkart.com/rebound-color-block-women-round-neck-multicolor-t-shirt/p/itmb950a47d68c8f?pid=TSHFP53KY6RZEXFY&lid=LSTTSHFP53KY6RZEXFYJZOF1J&marketplace=FLIPKART&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFP53KY6RZEXFY.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,1653,Multicolor,Short Sleeve,Round Neck,Cotton Blend,Slim Fit,1
Elepants,Solid Women Round Neck Dark Blue T-Shirt,4.1,299.0,https://www.flipkart.com/elepants-solid-women-round-neck-dark-blue-t-shirt/p/itm4745ad3e430e5?pid=TSHFRKP7Y8BW55AV&lid=LSTTSHFRKP7Y8BW55AVJOJ0CH&marketplace=FLIPKART&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFRKP7Y8BW55AV.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,4028,DARKBLUE,Half Sleeve,Round Neck,Hosiery,SLIM,1
BASE 41,Solid Women Round Neck Black T-Shirt,4.0,289.0,https://www.flipkart.com/base-41-solid-women-round-neck-black-t-shirt/p/itm2238d211fa446?pid=TSHFZPBQ9FTZUWDV&lid=LSTTSHFZPBQ9FTZUWDVWNOVCU&marketplace=FLIPKART&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFZPBQ9FTZUWDV.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,6349,BLACK,Short Sleeve,Round Neck,Hosiery,REGULAR,1
Hero & Piyush,Color Block Women Round Neck Maroon T-Shirt,4.3,199.0,https://www.flipkart.com/hero-piyush-color-block-women-round-neck-maroon-t-shirt/p/itm0ce5553c24b55?pid=TSHFS7FG3BYHD7HY&lid=LSTTSHFS7FG3BYHD7HYWHRXMI&marketplace=FLIPKART&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFS7FG3BYHD7HY.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,12,MHAROON,Short Sleeve,Round Neck,Cotton Blend,SLIM FIT,1
Midaas,Printed Women Round Neck Brown T-Shirt,4.0,229.0,https://www.flipkart.com/midaas-printed-women-round-neck-brown-t-shirt/p/itmfbyp6mzdskxwx?pid=TSHFBYEECAFJ8A22&lid=LSTTSHFBYEECAFJ8A22IEEA49&marketplace=FLIPKART&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFBYEECAFJ8A22.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,371,Maroon,Short Sleeve,Round Neck,Cotton Blend,Regular Fit,1
TT,Solid Women Round Neck Multicolor T-Shirt,4.0,461.0,https://www.flipkart.com/tt-solid-women-round-neck-multicolor-t-shirt/p/itm931de000b77bf?pid=TSHFZCYFSPMPPA8Y&lid=LSTTSHFZCYFSPMPPA8Y7WSBIU&marketplace=FLIPKART&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=en_W9FIQrMconIuxj2eFNePG%2BIwlX5c6dGZhkloD5q5owOavzWQiMKSPMGo781tDuBPWqdULGIEw7%2B%2Bj1uF8WSU5A%3D%3D&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,11,"NAVY, RED, YELLOW",Half Sleeve,Round Neck,Cotton Blend,Regular,1
VIVINKS,"Color Block Women Round Neck White, Black T-Shirt",4.0,275.0,https://www.flipkart.com/vivinks-color-block-women-round-neck-white-black-t-shirt/p/itmda4e2072d4054?pid=TSHFM54NGZKVEHGG&lid=LSTTSHFM54NGZKVEHGGCFVBTK&marketplace=FLIPKART&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFM54NGZKVEHGG.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,5024,Black,Short Sleeve,Round Neck,Cotton Blend,Regular,1
Broadstar,Printed Women Round Neck Yellow T-Shirt,4.0,375.0,https://www.flipkart.com/broadstar-printed-women-round-neck-yellow-t-shirt/p/itmfhvhhhh3tvrcw?pid=TSHFHTTAMTZTHNGK&lid=LSTTSHFHTTAMTZTHNGKCOOJQ2&marketplace=FLIPKART&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFHTTAMTZTHNGK.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,1505,Mustard,Half Sleeve,Round Neck,Cotton Lycra Blend,Regular Fit,1
