Brand Name,Shirt Name,Rating,Price,link,No. of ratings,Features,Colour,page
Veirdo,Men's Regular Fit T-Shirt,4.4 out of 5 stars,299,https://www.amazon.in/Veirdo-Mens-Regular-T-Shirt-TSH_79_BLKGRY_L_Multicolor_Large/dp/B084HCZQ8T/ref=sr_1_282?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-282,30 ratings,"['Care Instructions: Regular hand wash/machine wash, Do not bleach!', 'Fit Type: Regular Fit', 'Fabric: Cotton', 'Style: Regular', 'Neck Style: Round Neck', 'Sleeve Type: Half Sleeve']",Multicolor,6
Fabricorn,Women's T-Shirt,4.4 out of 5 stars,399,https://www.amazon.in/Fabricorn-Maroon-Printed-Cotton-Tshirt/dp/B07YCKDLZY/ref=sr_1_283?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-283,58 ratings,"['Care Instructions: Machine-wash', 'Fit Type: Regular Fit', 'Quality: 100% Cotton Premium Quality', 'Bio washed to offer comfort and smoothness', 'Sleeve: Short Sleeve Tshirt ; Neck Type: Round Neck tshirt', 'Fit: Comfort ; Occasion: Casual Wear', 'Wash Care: Wash Inside Out and dry in shade. Refer size chart before buying for awesome fit']",Maroon,6
Nike,Men's Solid Regular fit T-Shirt,3.3 out of 5 stars,1256,https://www.amazon.in/Nike-Regular-T-Shirt-909747-429_Binary-White_L/dp/B00GOER1CQ/ref=sr_1_284?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-284,33 ratings,"['Care Instructions: hand wash', 'Fit Type: regular fit', 'Color: Binary Blue/White', 'Material: cotton', 'Regular Fit', 'Short Sleeve', 'Hand wash', 'T-shirt is made with pure cotton for all-day comfort and lasting wear', ""The Nike men's t-shirt delivers a casual look in a classic design""]",,6
Reebok,Men's Regular fit T-Shirt,1.0 out of 5 stars,549,https://www.amazon.in/Reebok-Solid-Regular-T-Shirt-FQ4881_L_Ivy/dp/B082QH4NPR/ref=sr_1_285?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-285,1 rating,"['Care Instructions: machine wash', 'Fit Type: regular fit', 'Color name: Ivy Green', 'Material: Synthetic', 'Pattern: Solid', 'Short Sleeve', 'Machine Wash']",,6
CHKOKKO,Men's Cotton Regular Fit Full Sleeves T-Shirt,4.0 out of 5 stars,959,https://www.amazon.in/CHKOKKO-Sleeve-Cotton-BlueMelange-Mustard/dp/B07G15LC76/ref=sr_1_286?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-286,381 ratings,"['Fit Type: Regular Fit', 'NOTE:-Please follow the size chart given in Second Image', 'A perfect blend of imported fabric and durability with 60% Cotton and 40% Polyester.', 'This Round Neck T-shirt will cater a rich in-class and genuine appearance in any kind of ambience and will comfort you with saving time.', 'This casual t-shirt is perfect for everyone like school-college student, working and sports person etc', 'Washable: Hand-Wash and it is even machine washable, so you just need to toss it in the washing machine and relax']",BlueMelange Mustard Maroon,6
T.N.X,Men's Regular Fit T-Shirt,3.2 out of 5 stars,299,https://www.amazon.in/Generic-Cotton-T-shirt-White-Medium/dp/B074SZG49H/ref=sr_1_287?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-287,198 ratings,"['Fit Type: Regular Fit', 'Fabric:cotton', 'Regular Fit Polo Neck T-shirt', 'Pattern:solid', 'Half sleeve', 'Easy wash']",WHITE,6
ISAKAA,Baby Boys' T-Shirt (Pack of 5),2.9 out of 5 stars,375,https://www.amazon.in/ISAKAA-Sleeve-Cotton-Tshirts-Colours/dp/B07NZDBJ3K/ref=sr_1_288?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-288,25 ratings,"['Fit Type: Regular Fit', 'Fabric: Cotton', 'Style: Regular', 'Neck Style: Round Neck', 'Pattern: Checkered', 'Sleeve Type: Half Sleeve']",5 Colours,6
Amazon Brand - Jam & Honey,Girl's Starred Regular fit T-Shirt (Pack of 3) (JHSS20GTSHP352_ Multicolor 5 11-12 Years),,720,https://www.amazon.in/Amazon-Brand-Starred-Regular-JHSS20GTSHP352_Multicolor/dp/B0839BWNTN/ref=sr_1_289?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-289,0,"['Care Instructions: machine wash', 'Fit Type: regular fit', 'Color Name: Multi', 'Material: Cotton', 'Half sleeve', 'machine wash']",,6
T2F,Boy's Plain Regular fit T-Shirt (Pack of 3),4.2 out of 5 stars,370,https://www.amazon.in/T2F-Plain-Regular-T-Shirt-BYS-TSRT-SLD-01_Combo/dp/B07ZJHH79X/ref=sr_1_290?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-290,60 ratings,"['Care Instructions: machine wash', 'Fit Type: regular fit', 'Color Name: Combo 1', '100% Cotton', 'Half sleeve', 'Machine wash', 'Sleeve type: half sleeve; neck Type: round neck']",Combo 1,6
AFL,Boy's Regular fit T-Shirt,3.8 out of 5 stars,249,https://www.amazon.in/AFL-Regular-T-Shirt-Polo-1_Oatmeal-Melange/dp/B07WN4YZWF/ref=sr_1_291?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-291,16 ratings,"['Care Instructions: machine wash', 'Fit Type: regular fit', 'Color Name: Oatmeal Melange', '100% Cotton', 'Long sleeve', 'Machine wash', 'Solid polo t-shirt', 'Solid Polo t-shirt']",,6
Max,Girl's Regular fit T-Shirt,,399,https://www.amazon.in/Max-Regular-T-Shirt-S20ELC09ROSE-Pink_Rose/dp/B082SZ4VSD/ref=sr_1_292?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-292,0,"['Care Instructions: machine wash', 'Fit Type: regular fit', 'Color Name: Rose Pink', 'Material: Cotton', 'Half sleeve', 'Machine wash']",,6
BULLMER,Mens Halfsleeve Round Neck Printed Cotton Tshirt - Combo Tshirt - Pack of 3,,698,https://www.amazon.in/BULLMER-Halfsleeve-Printed-Cotton-Tshirt/dp/B0892RLGJK/ref=sr_1_293?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-293,0,"['Fit Type: Slim Fit', 'Premium quality printed cotton tshirt', 'cotton rich tshirt exclusively for casual occasions', 'The unique concept print gives a stylish outlook']",Multicolored,6
Amazon Brand - Symbol,Men's Solid Regular Fit Half Sleeve Cotton T-Shirt (Combo Pack of 5),3.9 out of 5 stars,809,https://www.amazon.in/Amazon-Brand-Symbol-T-Shirt-AW17PLPO5-3_M_Multicolor3/dp/B073X32W26/ref=sr_1_294?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-294,972 ratings,"['Care Instructions: machine wash', 'Fit Type: Regular Fit', 'Material - 100% Cotton except Grey Melange (which is 60% Cotton and 40% Polyester)', 'Fit Type - regular fit', 'Half Sleeve T-Shirt', 'Quality fabric for comfort and durability', 'Bio wash for better handfeel', 'Machine wash warm, wash dark colors separately, do not bleach, tumble dry low, warm ironMade in India']",Multicolor3,6
